,Newspaper Name,Accident date,Header,News title,Deaths,Injured,Year,Month,Day,Month-Year,Season,AccidentDescription,Weekday,Identified Location,Severity,Accident Type,Car Type
0,Dhaka Tribune,2021-06-26,Two labourers killed in Dhaka road accident,2 killed in Dhaka road crash,2,2,2021,6,26,2021-06,Summer,Two labourers killed in Dhaka road accident  2 killed in Dhaka road crash,Saturday,Dhaka,Moderate,Casualty,Other
1,Dhaka Tribune,2021-06-23,Three killed in Muktagacha road accident,Three killed in Muktagacha road...,3,0,2021,6,23,2021-06,Summer,Three killed in Muktagacha road accident  Three killed in Muktagacha road...,Wednesday,Muktagacha,High,Casualty,Other
2,Dhaka Tribune,2021-06-19,Truck-pickup van collision leaves 3 dead in Narsingdi,Truck-pickup van collision leaves 3...,3,0,2021,6,19,2021-06,Summer,Truck-pickup van collision leaves 3 dead in Narsingdi  Truck-pickup van collision leaves 3...,Saturday,Narsingdi,High,Collision,Truck & Train
3,Dhaka Tribune,2021-06-19,"Couple, infant grandson killed in Bogra bus-auto-rickshaw collision",Bogra road crash kills 3,3,0,2021,6,19,2021-06,Summer,"Couple, infant grandson killed in Bogra bus-auto-rickshaw collision  Bogra road crash kills 3",Saturday,Bogra,High,Collision,Bus & Rickshaw
4,Dhaka Tribune,2021-06-19,Policeman killed in Dhaka road accident,Cop killed in Dhaka road crash,1,0,2021,6,19,2021-06,Summer,Policeman killed in Dhaka road accident  Cop killed in Dhaka road crash,Saturday,Dhaka,Moderate,Casualty,Other
5,Dhaka Tribune,2021-06-18,3 killed in bus-car collision in Comilla,3 killed in bus-car collision in...,3,0,2021,6,18,2021-06,Summer,3 killed in bus-car collision in Comilla  3 killed in bus-car collision in...,Friday,Comilla,High,Collision,Bus & Car
6,Dhaka Tribune,2021-06-16,"6 die in road accidents in Dhaka, Gazipur","6 die in road accidents in Dhaka,...",6,0,2021,6,16,2021-06,Summer,"6 die in road accidents in Dhaka, Gazipur  6 die in road accidents in Dhaka,...",Wednesday,Dhaka,High,Other,Other
7,Dhaka Tribune,2021-06-13,Road accidents claim 5 lives in 3 districts,Road accidents claim 5 lives in 3...,5,0,2021,6,13,2021-06,Summer,Road accidents claim 5 lives in 3 districts  Road accidents claim 5 lives in 3...,Sunday,Unknown,High,Other,Other
8,Dhaka Tribune,2021-06-13,Bus-tractor collision kills 2 on Bangabandhu Bridge,2 killed in bus-tractor collision,2,0,2021,6,13,2021-06,Summer,Bus-tractor collision kills 2 on Bangabandhu Bridge  2 killed in bus-tractor collision,Sunday,Bangabandhu,Moderate,Collision,Bus
9,Dhaka Tribune,2021-06-13,"1 killed, 5 injured in Banani road crash","1 killed, 5 injured in Banani road...",1,0,2021,6,13,2021-06,Summer,"1 killed, 5 injured in Banani road crash  1 killed, 5 injured in Banani road...",Sunday,Banani,Moderate,Casualty,Other
10,Dhaka Tribune,2021-06-05,Two motorcyclists killed in Naogaon road accident,Two motorcyclists killed in Naogaon...,2,0,2021,6,5,2021-06,Summer,Two motorcyclists killed in Naogaon road accident  Two motorcyclists killed in Naogaon...,Saturday,Naogaon,Moderate,Casualty,Motorcycle
11,Dhaka Tribune,2021-06-03,Road accidents claim 9 lives across Bangladesh,Road accidents claim 9 lives,9,0,2021,6,3,2021-06,Summer,Road accidents claim 9 lives across Bangladesh  Road accidents claim 9 lives,Thursday,Bangladesh,High,Other,Other
12,Dhaka Tribune,2021-05-28,Three killed in Bhola road accident,Three killed in Bhola road,3,0,2021,5,28,2021-05,Spring,Three killed in Bhola road accident  Three killed in Bhola road,Friday,Bhola,High,Casualty,Other
13,Dhaka Tribune,2021-05-22,One killed in Tangail road crash,One killed in Tangail road crash,1,0,2021,5,22,2021-05,Spring,One killed in Tangail road crash  One killed in Tangail road crash,Saturday,Tangail,Moderate,Casualty,Other
14,Dhaka Tribune,2021-05-21,Road accidents kill 4 in 3 districts,Road accidents kill 4 in 3...,4,0,2021,5,21,2021-05,Spring,Road accidents kill 4 in 3 districts  Road accidents kill 4 in 3...,Friday,Unknown,High,Other,Other
15,Dhaka Tribune,2021-05-21,"Driver, assistant killed in pickup van-microbus collision in Brahmanbaria",2 killed in Brahmanbaria road,2,0,2021,5,21,2021-05,Spring,"Driver, assistant killed in pickup van-microbus collision in Brahmanbaria  2 killed in Brahmanbaria road",Friday,Brahmanbaria,Moderate,Collision,Bus & Train
16,Dhaka Tribune,2021-05-21,Youth killed in road crash while escorting cousin's body back home,Youth killed in Sylhet road...,1,0,2021,5,21,2021-05,Spring,Youth killed in road crash while escorting cousin's body back home  Youth killed in Sylhet road...,Friday,Sylhet,Moderate,Casualty,Other
17,Dhaka Tribune,2021-05-21,"Truck driver injured, assistant killed in Rajshahi road crash","Truck driver injured, assistant killed...",1,0,2021,5,21,2021-05,Spring,"Truck driver injured, assistant killed in Rajshahi road crash  Truck driver injured, assistant killed...",Friday,Rajshahi,Moderate,Casualty,Truck
18,Dhaka Tribune,2021-05-20,3 killed in Brahmanbaria road crash,3 killed in Brahmanbaria road,3,0,2021,5,20,2021-05,Spring,3 killed in Brahmanbaria road crash  3 killed in Brahmanbaria road,Thursday,Brahmanbaria,High,Casualty,Other
19,Dhaka Tribune,2021-05-19,15 killed in road accidents across Bangladesh,15 killed in road accidents across...,15,0,2021,5,19,2021-05,Spring,15 killed in road accidents across Bangladesh  15 killed in road accidents across...,Wednesday,Bangladesh,High,Casualty,Other
20,Dhaka Tribune,2021-05-17,"Mother killed, son injured in Gulshan road accident","Mother killed, son injured in Gulshan...",1,0,2021,5,17,2021-05,Spring,"Mother killed, son injured in Gulshan road accident  Mother killed, son injured in Gulshan...",Monday,Gulshan,Moderate,Casualty,Other
