Deaths,Injured,Year,Month,Day,Season,Weekday,Identified Location,Severity,Accident Type,Car Type,Newspaper Name,Accident date,Header,News title
2,2,2024.0,8.0,8.0,Summer,Thursday,Muktagacha,Moderate,Casualty,Other,,,,
1,1,2024.0,9.0,19.0,Autumn,Thursday,Muktagacha,Moderate,Casualty,Other,,,,
2,1,2024.0,7.0,31.0,Summer,Wednesday,Muktagacha,Moderate,Casualty,Other,,,,
2,1,2024.0,7.0,31.0,Summer,Wednesday,Muktagacha,Moderate,Casualty,Other,,,,
1,0,2024.0,11.0,13.0,Autumn,Wednesday,Muktagacha,Moderate,Casualty,Other,,,,
0,0,2024.0,11.0,18.0,Autumn,Monday,Muktagacha,Minor,Casualty,Other,,,,
12,33,2024.0,5.0,22.0,Spring,Wednesday,Muktagacha,High,Casualty,Other,,,,
3,0,2024.0,3.0,5.0,Spring,Tuesday,Muktagacha,High,Casualty,Other,,,,
0,3,2024.0,10.0,3.0,Autumn,Thursday,Comilla,Moderate,Casualty,Other,,,,
1,2,2024.0,11.0,7.0,Autumn,Thursday,Muktagacha,Moderate,Casualty,Other,,,,
3,0,2024.0,10.0,9.0,Autumn,Wednesday,Muktagacha,High,Casualty,Other,,,,
2,0,2024.0,7.0,16.0,Summer,Tuesday,Muktagacha,Moderate,Casualty,Other,,,,
4,5,2024.0,4.0,18.0,Spring,Thursday,Uganda,High,Casualty,Other,,,,
0,0,2024.0,10.0,29.0,Autumn,Tuesday,Uganda,Minor,Casualty,Other,,,,
6,2,2024.0,9.0,6.0,Autumn,Friday,Comilla,High,Casualty,Other,,,,
3,0,2024.0,7.0,10.0,Summer,Wednesday,Muktagacha,High,Casualty,Other,,,,
0,0,2024.0,8.0,6.0,Summer,Tuesday,Muktagacha,Minor,Casualty,Other,,,,
0,0,2024.0,8.0,8.0,Summer,Thursday,Muktagacha,Minor,Casualty,Other,,,,
2,1,2024.0,5.0,7.0,Spring,Tuesday,Muktagacha,Moderate,Casualty,Other,,,,
0,0,2024.0,7.0,9.0,Summer,Tuesday,Muktagacha,Minor,Casualty,Other,,,,
2,1,2024.0,10.0,30.0,Autumn,Wednesday,Muktagacha,Moderate,Casualty,Other,,,,
2,0,2024.0,9.0,11.0,Autumn,Wednesday,Muktagacha,Moderate,Casualty,Other,,,,
0,0,2024.0,8.0,7.0,Summer,Wednesday,Muktagacha,Minor,Casualty,Other,,,,
3,3,2024.0,10.0,17.0,Autumn,Thursday,Muktagacha,High,Casualty,Other,,,,
3,0,2024.0,10.0,16.0,Autumn,Wednesday,Muktagacha,High,Casualty,Other,,,,
3,0,2024.0,10.0,16.0,Autumn,Wednesday,Muktagacha,High,Casualty,Other,,,,
1,0,2024.0,11.0,13.0,Autumn,Wednesday,Muktagacha,Moderate,Casualty,Other,,,,
0,1,,,,,,,,,,Dhaka Tribune,2024-11-07,in Muktagacha road accident,Three killed in Muktagacha road...
